Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,url,RISK1: supply chain,RISK1: supply chain (2),RISK1: supply chain (3),RISK2: Litigation,RISK3: Inflation,gvkey,lpermno,datadate,fyear,tic,sic,sic3,td,long_debt_dum,me,l_a,l_sale,div_d,age,atr,smalltaxlosscarry,largetaxlosscarry,l_emp,l_ppent,l_laborratio,Inv,Ch_Cash,Div,Ch_Debt,Ch_Eqty,Ch_WC,CF,td_a,td_mv,mb,prof_a,ppe_a,cash_a,xrd_a,dltt_a,invopps_FG09,sales_g,dv_a,short_debt,_merge
LNT,Alliant Energy,reports,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541,1917,https://en.wikipedia.org/wiki/Alliant_Energy,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,899051,1931,https://en.wikipedia.org/wiki/Allstate_Corp,1.0,4.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
GOOGL,Alphabet Inc. (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,https://en.wikipedia.org/wiki/Alphabet_Inc.,1.0,1.0,1.0,1.0,1.0,160329.0,90319.0,2019-12-31,2019.0,GOOGL,7370.0,737.0,15967.0,1.0,921949.0,12.527826,11.994469,0.0,0.0,0.13329968,1.0,0.0,4.7866497,10.709606,6.5672617,0.10688669,0.0065130168,0.0,-0.00097133475,-0.08394434,-0.0037657344,0.19831538,0.05787053,0.017023912,3.6113937,0.17445244,0.30657572,0.4337481,0.094299205,0.053524893,3.413887,,0.0,0.075092375,both
GOOG,Alphabet Inc. (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998,https://en.wikipedia.org/wiki/Alphabet_Inc.,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,1985,https://en.wikipedia.org/wiki/Altria_Group_Inc,0.0,1.0,1.0,0.0,0.0,8543.0,13901.0,2019-12-31,2019.0,MO,2111.0,211.0,28042.0,1.0,92731.88,10.805091,9.893235,1.0,0.0,1.0,1.0,0.0,2.1162555,7.6009026,5.612528,0.048669603,0.01475513,0.123175904,0.047106817,-0.017150048,0.0034908974,0.15664387,0.56913805,0.23218596,2.7557971,0.21836375,0.040571533,0.04296645,0.0034097137,0.54884213,2.359213,,0.123175904,0.035660796,both
AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1018724,1994,https://en.wikipedia.org/wiki/Amazon.com_Inc.,2.0,9.0,2.0,7.0,6.0,64768.0,84788.0,2019-12-31,2019.0,AMZN,5961.0,596.0,77535.0,1.0,920224.3,12.324957,12.544408,0.0,0.0,0.17003295,1.0,0.0,5.2522736,10.709606,4.8090415,0.107796736,0.018810378,0.0,0.0,0.0,0.055512145,0.12660712,0.34422058,0.07770912,4.8098645,0.13248508,0.4343923,0.24549386,0.15951751,0.28060183,,,0.0,0.18481976,both
AMCR,Amcor plc,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019-06-07,1748790,2019 (1860),https://en.wikipedia.org/wiki/Amcor_plc,0.0,0.0,1.0,0.0,0.0,100243.0,18724.0,2019-06-30,2019.0,AMCR,2670.0,267.0,6103.2,1.0,18665.506,9.7506275,9.154637,1.0,0.0,0.28535774,,,3.9318256,8.288032,4.375757,-0.00059423246,-0.0011185552,0.03959802,-0.0034780076,-5.2432275e-05,0.0010428197,0.041415673,0.35556075,0.24640772,1.7606469,0.07376639,0.23157588,0.035048064,0.0037285173,0.30929217,1.0866966,,0.039598018,0.13012846,both
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910,1902,https://en.wikipedia.org/wiki/Ameren_Corp,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201,1934,https://en.wikipedia.org/wiki/American_Airlines_Group,0.0,0.0,1.0,0.0,0.0,1045.0,21020.0,2019-12-31,2019.0,AAL,4512.0,451.0,33444.0,1.0,12280.862,11.002016,10.73134,1.0,0.0,0.2526596,0.0,1.0,4.90305,10.685858,5.790237,0.037386447,6.6672226e-05,0.0029669139,-0.0038336527,-0.018284857,-0.0050004167,0.06253854,0.5574465,0.73141825,1.2066649,0.10040837,0.72892743,0.066405535,0.0,0.4812901,0.76890826,,0.0029669139,0.13661644,both
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904,1906,https://en.wikipedia.org/wiki/American_Electric_Power,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
AXP,American Express,reports,Financials,Consumer Finance,"New York, New York",1976-06-30,4962,1850,https://en.wikipedia.org/wiki/American_Express,0.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
